"Easy Tabs","علامات تبويب سهلة"
"Add New Tab","إضافة صفحه جديدة"
"Save Tab","حفظ علامة التبويب"
"Delete Tab","حذف علامة التبويب"
"Edit Tab '%1'","تحرير علامة التبويب '%1'"
"New Tab","علامة تبويب جديدة"
"Tab Information","معلومات علامة التبويب"
Alias,"الاسم المستعار"
"Block Type","نوع الكتلة"
"Please select item(s).","يرجى تحديد العنصر (العناصر)."
"Tab was deleted.","تم حذف علامة التبويب."
"Can't find a tab to delete.","لا يمكن العثور على علامة تبويب للحذف."
"Manage Tabs","إدارة علامات التبويب"
"This tab no longer exists.","علامة التبويب هذه لم تعد موجودة."
"Edit Tab","تحرير علامة التبويب"
"Manage Easy Tabs","إدارة علامات التبويب السهلة"
"Tab has been saved.","تم حفظ علامة التبويب."
"Something went wrong while saving the tab.","حدث خطأ ما أثناء حفظ علامة التبويب."
"An error occured:","حدث خطأ:"
"Html content","محتوى Html"
Unset,"غير محدد"
"Custom Block","كتلة مخصصة"
"Product Description","وصف المنتج"
"We Also Recommend","نوصي أيضا"
"Product's Reviews","مراجعات المنتج"
"Select Block...","حدد كتلة ..."
"Delete items","حذف العناصر"
"Enable items","تمكين العناصر"
"Disable items","تعطيل العناصر"
